如下实体相似度高，可能存在同义实体！
遗传	心律不齐 相似度：0.9024853250751722
其他理化因素引起的ILD	找一个靠近过道的座位，因为更容易站起来 相似度：0.9010256226453891
其他系统疾病	保泰松 相似度：0.9009918637826241
肿瘤的肺部转移	心脏病患者 相似度：0.900283267517997
病毒性肺炎	关节变形 相似度：0.9020414160682534
左心室功能不全	多发性神经纤维瘤 相似度：0.9016226620879483
与慢性肾功能不全相关的ILD	疱疹病毒 相似度：0.900493680856442
与移植物排斥反应相关的ILD	血冷凝集试验阳性 相似度：0.9007426907600017
与移植物排斥反应相关的ILD	纵膈切开引流术 相似度：0.9003753009850276
与移植物排斥反应相关的ILD	小细胞肺癌 相似度：0.9016898842306961
血液透析	月经性气胸 相似度：0.9001799059807898
呼吸性细支气管炎间质性肺病(RBILD)	心律不齐 相似度：0.9004184852391974
呼吸性细支气管炎间质性肺病(RBILD)	穿刺活检法 相似度：0.9025025457816938
结节病	肺脓肿 相似度：0.9010386760024289
Churg-Strauss综合征	出冷汗 相似度：0.9018223861349233
Langerhans组织细胞增生性(LGH)	低度恶性的恶性胸腺瘤 相似度：0.9021646778642197
紫绀	肺康复治疗 相似度：0.9008766669333755
紫绀	外源性重组人类GM-CSF 相似度：0.9003978243413844
紫绀	心律不齐 相似度：0.9004272656381319
肺康复治疗	组织活检证实或符合结节病 相似度：0.9008621895729834
肺康复治疗	寒战 相似度：0.9025391116670217
肺康复治疗	月经性气胸 相似度：0.9038593235399565
肺康复治疗	硅肺 相似度：0.9021231395659954
肺康复治疗	负压吸引术 相似度：0.9008902096860284
肺康复治疗	慢性胸腔积液 相似度：0.900267859251754
肺康复治疗	胸膜增厚 相似度：0.9057028156243143
肺康复治疗	迷走性胸内甲状腺肿 相似度：0.9011989460118154
肺康复治疗	皮质为主型 相似度：0.9004729354470574
肺康复治疗	AB型胸腺瘤 相似度：0.9023480664973768
肺康复治疗	上睑提肌和眼外肌受累 相似度：0.9003992839538731
肺康复治疗	向心性肥胖 相似度：0.9035733243721739
肺康复治疗	导管化疗 相似度：0.9021428752529899
肺康复治疗	间质性肺疾病 相似度：0.9010185454200552
肺康复治疗	支气管炎 相似度：0.901501037028556
肺康复治疗	少吃多餐，每次可进食4到5次 相似度：0.9039170117291697
中医分型论治	肺不张 相似度：0.9016958376315531
痰热壅肺，痰瘀互阻型	异烟肼 相似度：0.9017103432239557
气阴两虚，痰瘀互阻型	结核性腹膜炎 相似度：0.9008723002707127
间质性肺病后期	较严重的四肢无力，生活不能自理 相似度：0.9014600554687596
眼花	意识模糊 相似度：0.9041252701838605
眼花	分期治疗 相似度：0.9004440313081348
昏迷	分期治疗 相似度：0.9023241178760495
昏迷	间质性肺病 相似度：0.9011286263472571
昏迷	视力障碍 相似度：0.9021477852245157
意识模糊	上睑提肌和眼外肌受累 相似度：0.9009142060967478
皮肤发绀	间质性肺病 相似度：0.9028600385880687
口唇青紫	关节变形 相似度：0.9007388409022269
口唇青紫	胸膜摩擦音 相似度：0.901392162207031
瞳孔散大	苯乙酸氮芥 相似度：0.9019587629503599
瞳孔散大	感染 相似度：0.9015895446404696
瞳孔散大	手术切除 相似度：0.9008792357829988
瞳孔散大	肺鳞癌 相似度：0.9036767237442618
瞳孔散大	少吃多餐，每次可进食4到5次 相似度：0.9010811081230719
身体抵抗力下降	心律不齐 相似度：0.9042086731999422
消化道溃疡	紫纹 相似度：0.9010433360290806
疱疹病毒	组织活检证实或符合结节病 相似度：0.9023226622118723
疱疹病毒	开放性气胸 相似度：0.9025890880664873
疱疹病毒	肺吸虫病 相似度：0.9027170910582946
疱疹病毒	锁骨上淋巴结肿大 相似度：0.9015734103075128
疱疹病毒	淋巴管造影术 相似度：0.9005311572428912
疱疹病毒	向心性肥胖 相似度：0.9049044465567039
疱疹病毒	痤疮 相似度：0.9017737677103862
疱疹病毒	头痛 相似度：0.9001345778230018
疱疹病毒	超声气管内窥镜下活检检查EBUS 相似度：0.9018755665218234
疱疹病毒	扁桃体化脓 相似度：0.9035955797609466
疱疹病毒	其他同时存在限制性和阻塞性通气功能障碍的肺疾病 相似度：0.901287018709822
疱疹病毒	多发性神经纤维瘤 相似度：0.9019687403394585
疱疹病毒	肥胖 相似度：0.9002608417762274
减少职业粉尘的暴露	较严重的四肢无力，生活不能自理 相似度：0.9020463699794007
高分辨率CT表现为普通型间质性肺炎	重症肌无力 相似度：0.90319931261695
高分辨率CT表现为普通型间质性肺炎	胸腺瘤合并单纯红细胞再生障碍性贫血 相似度：0.9044610888949219
系统性红斑狼疮	痤疮 相似度：0.9018955595832144
特殊药物服用引起的肺疾病	给予地塞米松、肾上腺素、速尿等静脉推注治疗 相似度：0.9003023899713486
特殊药物服用引起的肺疾病	穿刺活检法 相似度：0.901259227379261
特殊药物服用引起的肺疾病	胸腔镜肺切除术 相似度：0.900183292719846
特殊药物服用引起的肺疾病	混合性缔组织病 相似度：0.9020905786543455
特殊药物服用引起的肺疾病	肺功能评价 相似度：0.9023428147768883
肺移植	组织活检证实或符合结节病 相似度：0.9003452205270661
肺移植	苯乙酸氮芥 相似度：0.9035785759715795
肺移植	过敏 相似度：0.9002313454200244
肺移植	抽搐 相似度：0.9039553060316451
肺移植	红细胞沉降率加快 相似度：0.9003101072645672
感染因素	其他同时存在限制性和阻塞性通气功能障碍的肺疾病 相似度：0.9002543447893346
支气管镜检查	反应延迟 相似度：0.9041979990209749
支气管镜检查	间质性肺病 相似度：0.9003631743267471
结核病	5型磷酸二酯酶抑制剂 相似度：0.9006852095046662
其他肉芽肿性疾病	组织活检证实或符合结节病 相似度：0.9049453107344854
其他肉芽肿性疾病	缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生 相似度：0.9039627584099806
其他肉芽肿性疾病	瘤体多发、多样性，质地较软 相似度：0.9014568889050485
组织活检证实或符合结节病	血气分析提示低氧血症 相似度：0.9013398625791779
组织活检证实或符合结节病	外源性重组人类GM-CSF 相似度：0.9002591485422045
组织活检证实或符合结节病	负压吸引术 相似度：0.9039608014339056
组织活检证实或符合结节病	急性胸腔积液 相似度：0.9001652591909323
组织活检证实或符合结节病	免疫学检查 相似度：0.9017172067503518
组织活检证实或符合结节病	晚期重症型 相似度：0.9003462451308489
组织活检证实或符合结节病	胆碱能危象 相似度：0.9045107715214031
组织活检证实或符合结节病	苯巴比妥 相似度：0.9030528680408899
组织活检证实或符合结节病	向心性肥胖 相似度：0.9011673339047762
组织活检证实或符合结节病	血清钾低 相似度：0.9024662981042008
组织活检证实或符合结节病	胸部X线 相似度：0.9011352788650577
组织活检证实或符合结节病	平滑肌肉瘤 相似度：0.9004396222091771
组织活检证实或符合结节病	骨痛 相似度：0.9006544896897505
组织活检证实或符合结节病	中央型肺癌 相似度：0.9023342420609158
组织活检证实或符合结节病	中期 相似度：0.9031832284996375
组织活检证实或符合结节病	超声气管内窥镜下活检检查EBUS 相似度：0.9002804865397354
组织活检证实或符合结节病	红细胞沉降率加快 相似度：0.9003268529912124
组织活检证实或符合结节病	慢性血栓栓塞性肺高压 相似度：0.9032870987499527
组织活检证实或符合结节病	收缩功能障碍 相似度：0.9020270571249099
组织活检证实或符合结节病	多发性神经纤维瘤 相似度：0.9109599359926238
组织活检证实或符合结节病	5型磷酸二酯酶抑制剂 相似度：0.9002808447866861
Kveim试验阳性	月经性气胸 相似度：0.9013888776349124
Kveim试验阳性	间质性肺病 相似度：0.9009654227719913
肺癌	肺鳞癌 相似度：0.9014434167031177
肺癌	间质性肺病 相似度：0.9050657561683152
其他部位转移性肿瘤	关节变形 相似度：0.9066174261257929
其他部位转移性肿瘤	缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生 相似度：0.9019728396529427
其他部位转移性肿瘤	非霍奇金淋巴瘤 相似度：0.902156143067311
其他部位转移性肿瘤	分期治疗 相似度：0.9005054074248424
糖皮质激素治疗	基底细胞样鳞癌 相似度：0.9018480175710494
硫锉嘌呤	漏出性胸腔积液 相似度：0.9016603281492055
硫锉嘌呤	收缩功能障碍 相似度：0.901179873096279
苯乙酸氮芥	出冷汗 相似度：0.9022820021188571
苯乙酸氮芥	化脓性感染 相似度：0.9027681354807837
苯乙酸氮芥	非侵袭性胸腺瘤 相似度：0.9018142244381117
苯乙酸氮芥	硫唑嘌呤 相似度：0.9008771278860198
苯乙酸氮芥	腰痛 相似度：0.9020781155222496
苯乙酸氮芥	头面部肿胀 相似度：0.9017698742208512
苯乙酸氮芥	肠源性重复囊肿 相似度：0.9003847414770446
苯乙酸氮芥	分期治疗 相似度：0.9011922161528522
苯乙酸氮芥	软食和液体食物更容易吞咽，饮食中可以增加这类食物的比例 相似度：0.9002636570778686
英夫利昔单抗	感染性胸腔积液 相似度：0.9006084507423986
英夫利昔单抗	MRI 相似度：0.9007676852954485
英夫利昔单抗	间质性肺病 相似度：0.9003754486751895
干燥综合征	缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生 相似度：0.905857609954742
干燥综合征	血压高 相似度：0.9001097236202578
干燥综合征	胸部X线 相似度：0.9038302416598863
干燥综合征	病理诊断 相似度：0.9038223824784795
干燥综合征	少吃多餐，每次可进食4到5次 相似度：0.9012428961032044
结缔组织相关性肺间质疾病	眼球凹陷 相似度：0.9001780209422283
杵状指趾	良性畸胎瘤 相似度：0.9020241758032411
关节变形	感染 相似度：0.9021372895629111
关节变形	吸入无机物 相似度：0.9015016062565185
关节变形	出冷汗 相似度：0.9018956882743733
关节变形	张力性气胸 相似度：0.9047867431332659
关节变形	感染性胸腔积液 相似度：0.9005066891818521
关节变形	肺炎旁胸腔积液 相似度：0.900867205961307
关节变形	内窥镜检查 相似度：0.9028999628636524
关节变形	肿瘤标志物 相似度：0.903413276090896
关节变形	非霍奇金淋巴瘤 相似度：0.9011393231485494
关节变形	重症肌无力 相似度：0.9017323368362606
关节变形	非侵袭性胸腺瘤 相似度：0.9099361360801457
关节变形	维生素B2 相似度：0.9049625553148877
关节变形	过敏 相似度：0.9013320165630369
关节变形	心律不齐 相似度：0.9003434027837428
关节变形	头痛 相似度：0.9035524298207543
关节变形	肺鳞癌 相似度：0.900248525257533
关节变形	袖状肺叶切除术 相似度：0.9005298362023479
关节变形	分期治疗 相似度：0.9002697559181981
弥漫性肺泡损害（DAD）	血冷凝集试验阳性 相似度：0.9021895867348814
弥漫性肺泡损害（DAD）	慢性血栓栓塞性肺高压 相似度：0.9000840408551691
非特异性间质肺炎（NSIP）	支气管炎 相似度：0.9043668435052974
淋巴细胞间质肺炎（LIP）	不同程度的呼吸道症状 相似度：0.9061068520068789
机化性肺炎（OP）	大叶性肺炎 相似度：0.9007135212156988
吸氧	真菌性胸膜炎 相似度：0.9015875360182528
活动气促	真菌性胸膜炎 相似度：0.9040527353641689
血气分析提示低氧血症	间质性肺病 相似度：0.9056951433960814
胸部X片见两肺弥漫性散在分布的颗粒样结节状阴影	瘤体多发、多样性，质地较软 相似度：0.9062680658000498
胸部CT见两肺弥漫性小叶中心性颗粒样结节状阴影	肺泡蛋白沉积症 相似度：0.904387553226265
胸部CT见两肺弥漫性小叶中心性颗粒样结节状阴影	向心性肥胖 相似度：0.9000189582926799
肺表面弥漫分布多个细小灰白色结节，触之有细沙样、颗粒样不平感；切面可见广泛细支气管为中心的结节，有时可见支气管扩张	自主神经功能紊乱 相似度：0.9000252236987186
体重减轻	感染 相似度：0.9000048485182794
体重减轻	超声气管内窥镜下活检检查EBUS 相似度：0.9027421187674634
影像学表现	铍中毒 相似度：0.9013526268080957
影像学表现	分期治疗 相似度：0.9007615194056152
肺泡蛋白沉积症	在横隔的同一侧，侵及两个或更多淋巴结区或外加局限侵犯一个结外器官或部位(II E) 相似度：0.9006695260902564
PAP	间质性肺病 相似度：0.9003625092792994
感染	肺脓肿 相似度：0.900636311525767
感染	出冷汗 相似度：0.9016641041550588
感染	张力性气胸 相似度：0.9012629955630521
感染	畸胎瘤 相似度：0.9015931423284482
感染	甲状腺腺瘤 相似度：0.9001658860926525
感染	囊肿 相似度：0.9012126170122889
感染	霍奇金淋巴瘤IIIA期，病理类型为淋巴细胞消减型 相似度：0.9003689359209424
感染	B1型胸腺瘤 相似度：0.9012715092348478
感染	氯霉素 相似度：0.9021636429843689
感染	保泰松 相似度：0.9034937142656247
感染	过敏 相似度：0.9049873939871936
感染	紫纹 相似度：0.9009740715781213
感染	尽量心情爽朗 相似度：0.9003648183330902
感染	咳血（有时） 相似度：0.9017784018865546
感染	间质性肺疾病 相似度：0.9072597825696995
感染	肺功能评价 相似度：0.9104589504454782
感染	血液成分异常 相似度：0.9018980084327731
恶性肿瘤	弥漫性或播散性侵犯一个或更多的结外器官，同时伴有或不伴有淋巴结的侵犯 相似度：0.9021024803324443
恶性肿瘤	胸部X线 相似度：0.9024024626520404
免疫系统疾病	肺脓肿 相似度：0.9010802739659866
免疫系统疾病	放射性同位素检查 相似度：0.9004037887275507
肺泡癌	月经性气胸 相似度：0.9003943697512512
肺泡癌	剧烈的胸痛 相似度：0.9001803788956989
肺泡癌	出冷汗 相似度：0.9058188729122889
肺泡癌	淋巴转移 相似度：0.9074207811786446
肺泡癌	慢性血栓栓塞性肺高压 相似度：0.9001293859923912
外源性重组人类GM-CSF	心律不齐 相似度：0.9006729162017384
外源性重组人类GM-CSF	分期治疗 相似度：0.9034585452273173
外源性重组人类GM-CSF	间质性肺病 相似度：0.9121013554011314
原发性自发性气胸	腰痛 相似度：0.900394558126627
外伤性气胸	良性胸内甲状腺肿 相似度：0.9002045209534839
外伤性气胸	肥胖 相似度：0.9016706509457102
闭合性气胸	混合性缔组织病 相似度：0.9015862391093203
开放性气胸	小细胞肺癌 相似度：0.9003508898594703
开放性气胸	淋巴转移 相似度：0.9003985350651142
开放性气胸	左心 相似度：0.9046709898639582
月经性气胸	AB型胸腺瘤 相似度：0.9035605455840336
月经性气胸	庆大霉素 相似度：0.901027827021627
月经性气胸	向心性肥胖 相似度：0.9010718109342354
月经性气胸	肺静脉闭塞病和肺毛细血管瘤 相似度：0.901984411878755
月经性气胸	有服用减肥药史的患者 相似度：0.901541364895041
新生儿气胸	小细胞肺癌 相似度：0.9005046798167241
慢性支气管炎	防止食物污染 相似度：0.9000475324338368
肺脓肿	肺吸虫病 相似度：0.9052122125531029
肺脓肿	良性胸内甲状腺肿 相似度：0.9005220109002502
肺脓肿	恶性畸胎瘤 相似度：0.9003955046239767
肺脓肿	胆碱能危象 相似度：0.902876426138043
肺吸虫病	出冷汗 相似度：0.9019656535699915
肺吸虫病	畸胎瘤 相似度：0.9011265957691712
肺吸虫病	肠源性重复囊肿 相似度：0.9018314957377245
肺吸虫病	痰液引流 相似度：0.9014253209007012
肺吸虫病	左心 相似度：0.9024788525672004
剧烈的胸痛	肥胖 相似度：0.9015124336474721
出冷汗	张力性气胸 相似度：0.9001294814555999
出冷汗	纤维蛋白性胸腔积液 相似度：0.9007297912716521
出冷汗	急性胸腔积液 相似度：0.9001855324740643
出冷汗	胆碱能危象 相似度：0.9024582142433395
出冷汗	分期治疗 相似度：0.9001287316281407
出冷汗	咳血（有时） 相似度：0.904780130038889
张力性气胸	上睑提肌和眼外肌受累 相似度：0.9015451704548549
张力性气胸	硫唑嘌呤 相似度：0.9003724920407804
张力性气胸	肺功能评价 相似度：0.9002067100291332
胸部CT平扫	化脓性感染 相似度：0.9000424638054855
胸部CT平扫	心脏病患者 相似度：0.9022438924896575
缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生	胸部X线 相似度：0.9059637417289115
缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生	镇痛治疗 相似度：0.9015473954202362
缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生	血红蛋白 相似度：0.9002036755731658
结核性脓胸	锁骨上淋巴结肿大 相似度：0.9035369601790256
大叶性肺炎	穿刺活检法 相似度：0.9015716198328576
通过向患侧胸腔内注入美蓝，随后患者经气道咳出蓝色或绿色痰液	较严重的四肢无力，生活不能自理 相似度：0.9028798023194846
急腹症	胆碱能危象 相似度：0.9002588533538982
急腹症	病理诊断 相似度：0.9011357683674871
急腹症	5型磷酸二酯酶抑制剂 相似度：0.9018992868605836
负压吸引术	胸水找脱落细胞 相似度：0.9041958852417102
胸穿抽气治疗	中期 相似度：0.9010894967840831
给予地塞米松、肾上腺素、速尿等静脉推注治疗	食管梗阻 相似度：0.9013347639340346
感染性胸腔积液	有服用减肥药史的患者 相似度：0.901635791907636
化学性胸腔积液	血液成分异常 相似度：0.9016011637861255
血性胸腔积液	食管梗阻 相似度：0.9002833458238253
漏出性胸腔积液	良性畸胎瘤 相似度：0.9009704410758224
漏出性胸腔积液	MRI扫描 相似度：0.902268563259183
干咳	真菌性胸膜炎 相似度：0.9010214950320691
干咳	较严重的四肢无力，生活不能自理 相似度：0.9057851783867623
干咳	分期治疗 相似度：0.9038366086376749
胸膜摩擦音	睡眠监测 相似度：0.9017408336548948
糖皮质激素	其他同时存在限制性和阻塞性通气功能障碍的肺疾病 相似度：0.9040430151944885
糖皮质激素	多发性神经纤维瘤 相似度：0.900107249311946
引流胸腔脓液	胸腺角化鳞癌 相似度：0.9016509291679332
细胞计数和分类	真菌性胸膜炎 相似度：0.9002348119734691
肿瘤标志物检查	坠入性胸内甲状腺肿 相似度：0.9017884153127863
肿瘤标志物检查	肿瘤标志物 相似度：0.9009520812474998
肿瘤标志物检查	受侵犯区淋巴结在横隔的两侧，或外加局限侵犯一个结外部位(II E)，或脾(III S)，或二者(III SE) 相似度：0.900687187745259
肿瘤标志物检查	较严重的四肢无力，生活不能自理 相似度：0.9035897686876144
肿瘤标志物检查	胸部X线片 相似度：0.9005999646531649
MRI	超声气管内窥镜下活检检查EBUS 相似度：0.9048328472779781
MRI	间质性肺病 相似度：0.9087078507476739
MRI	睡眠监测 相似度：0.9005754758509347
MRI	支气管炎 相似度：0.9006734198262679
超声检查	胸腔穿刺术 相似度：0.9034887832176777
超声检查	上睑提肌和眼外肌受累 相似度：0.9016320227501081
胸水常规	霍奇金淋巴瘤IIIA期 相似度：0.9028482968175844
胸水常规	咳血（有时） 相似度：0.9005133015086977
肺水肿	霍奇金淋巴瘤IIIA期 相似度：0.9131128604993234
心性胸腔积液	淋巴管造影术 相似度：0.9069592793539688
液气胸	中期 相似度：0.9023868354802177
肺炎旁胸腔积液	夜间盗汗 相似度：0.9019619662969836
肺炎旁胸腔积液	以联合化疗为主，标准方案为MOPP、ABVD、MPPP/ABVD交替，总数至少6周期以上 相似度：0.9010420267085827
化脓性胸膜炎	真菌性胸膜炎 相似度：0.9007681895122231
化脓性胸膜炎	血压高 相似度：0.9005368229357571
肿瘤性胸膜炎	磁共振 相似度：0.9022566468902578
肿瘤性胸膜炎	肠源性重复囊肿 相似度：0.9020436970837409
真菌性胸膜炎	良性畸胎瘤 相似度：0.9019676482705233
真菌性胸膜炎	肠源性重复囊肿 相似度：0.9034020588795415
真菌性胸膜炎	分期治疗 相似度：0.9071681162662913
真菌性胸膜炎	间质性肺病 相似度：0.9025431248518134
真菌性胸膜炎	多发性神经纤维瘤 相似度：0.9011761053207255
胆固醇胸膜炎	超声波 相似度：0.9013585595239788
胆固醇胸膜炎	尽量心情爽朗 相似度：0.9010859284097222
结核性胸膜炎	心律不齐 相似度：0.9019643968643227
抗结核治疗	深静脉血栓 相似度：0.9000525522868782
寒颤	夜间盗汗 相似度：0.9009902198711616
寒颤	轻度全身型 相似度：0.9014232821503749
持续性高热	长时间发热 相似度：0.9000166603545766
胸腔穿刺术后继发化脓性感染	肺高血压 相似度：0.9009468443347914
癌细胞致胸导管阻塞	侵及一个单独淋巴结区或侵及单一结外器官或部位(I E) 相似度：0.9003368860926756
癌细胞致胸导管阻塞	低度恶性的恶性胸腺瘤 相似度：0.9040883069223329
癌细胞致胸导管阻塞	小细胞肺癌 相似度：0.9004134564068663
对症治疗	次全淋巴结照射 相似度：0.9033385581624822
